generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
160,8.297768456595284,16.000501087733678,100.0,100.0,51.020617942178596,99.21626567840576,100.0,100.0,15,21.87000000000062,26.007500000001265,30.0,28.21416666666698,24.642500000000936,22.30750000000069,21.87000000000062
161,5.159767150878906,10.826132638113839,100.0,100.0,48.951295248676,99.29556029183524,100.0,100.0,15,21.87000000000062,25.665000000001214,30.0,28.13145833333363,24.394375000000895,22.270000000000685,21.87000000000062
162,8.33312715802874,10.996999059404647,100.0,100.0,51.57545970249953,100.0,100.0,100.0,17,21.87000000000062,26.642500000001366,30.0,28.266041666667064,24.823750000001077,22.270000000000685,21.87000000000062
163,8.649990081787111,10.855249677385602,100.0,100.0,42.20392481990146,97.356726934026,100.0,100.0,13,21.7400000000006,28.46750000000165,30.0,28.482916666666938,25.448750000000825,22.100000000000655,21.7400000000006
164,5.284195491245814,5.850620269775391,97.52351770640824,100.0,43.92233325863446,96.73312960031603,100.0,100.0,12,21.7400000000006,29.75250000000043,30.0,28.682708333333597,26.0481250000008,22.100000000000655,21.7400000000006
165,3.8443603515625,10.67352090563093,95.83205761722475,100.0,44.29976387186864,96.14263092492273,100.0,100.0,12,21.7400000000006,29.320000000000366,30.0,28.533125000000243,25.59937500000073,21.97000000000064,21.7400000000006
166,4.827101571219308,11.18741580418178,86.42824309212821,100.0,44.595850828939355,93.56515245949794,100.0,100.0,9,21.7400000000006,30.0,30.0,28.7802083333335,26.34062500000049,21.97000000000064,21.7400000000006
167,10.56993430001395,13.484851292201451,88.47300938197546,100.0,47.303027824165504,95.24476970945086,100.0,100.0,11,21.7400000000006,30.0,30.0,28.394583333333514,25.183750000000547,21.852500000000617,21.7400000000006
168,5.540631430489676,10.97707544054304,78.7429141998291,100.0,42.71664280050504,89.99854360307965,100.0,100.0,9,21.7400000000006,30.0,30.0,28.69062500000015,26.071875000000446,21.852500000000617,21.7400000000006
169,10.6268185206822,15.259547914777482,100.0,100.0,55.93048451632185,97.83641815185547,100.0,100.0,13,21.7400000000006,24.56250000000104,30.0,28.13958333333355,24.418750000000664,21.852500000000617,21.7400000000006
170,10.492351259504044,16.40665463038853,100.0,100.0,58.503021037754934,100.0,100.0,100.0,19,20.99000000000048,24.815000000001078,30.0,27.561666666667037,23.180625000000823,21.590000000000575,20.99000000000048
171,5.3547532217843195,11.101698875427246,100.0,100.0,50.17831661434877,99.47631989259061,100.0,100.0,14,20.99000000000048,26.900000000001405,30.0,28.191666666666936,24.575000000000806,21.470000000000557,20.99000000000048
172,4.87096895490374,10.789121900285995,100.0,100.0,48.837761340245855,100.0,100.0,100.0,16,20.99000000000048,26.322500000001316,30.0,28.191041666667015,24.573125000001042,21.470000000000557,20.99000000000048
173,8.817799976893834,11.076742580958776,67.83324260579143,100.0,36.44288037010844,82.474624840369,100.0,100.0,7,20.99000000000048,30.0,30.0,29.117916666666805,27.35375000000041,21.470000000000557,20.99000000000048
174,5.530918666294643,11.081765719822474,78.62702233450753,100.0,43.771900132565065,91.23087735393396,100.0,100.0,10,20.99000000000048,30.0,30.0,28.49375000000016,25.481250000000475,21.44250000000055,20.99000000000048
175,8.459059306553433,14.204504149300714,88.19230079650879,100.0,43.62800677578019,93.63103016027424,100.0,100.0,11,20.99000000000048,30.0,30.0,28.257083333333497,24.771250000000485,21.31000000000053,20.99000000000048
176,5.570079258510044,11.117288725716728,100.0,100.0,46.299356564053504,95.77422176088606,100.0,100.0,13,20.99000000000048,26.49750000000134,30.0,28.120833333333554,24.362500000000658,21.31000000000053,20.99000000000048
177,10.985826764787946,20.862616811479842,78.87281826564244,100.0,53.6080233497023,91.96832554680961,100.0,100.0,10,20.99000000000048,30.0,30.0,28.63229166666685,25.89687500000054,21.31000000000053,20.99000000000048
178,5.485345023018974,11.171447890145437,95.69999694824217,100.0,51.418792862761734,95.61210325786045,100.0,100.0,12,20.99000000000048,29.187500000000348,30.0,28.253958333333532,24.7618750000006,21.31000000000053,20.99000000000048
179,4.072524479457311,9.327380997794014,91.5804672241211,100.0,44.77595208042279,95.3868075779506,100.0,100.0,12,20.370000000000385,29.28750000000036,30.0,28.15416666666685,24.462500000000553,20.97250000000048,20.370000000000385
180,4.2238121032714835,11.119238989693779,91.49528230939592,100.0,48.37837579213402,95.42149986539567,100.0,100.0,12,20.370000000000385,29.305000000000362,30.0,28.261458333333536,24.7843750000006,20.97250000000048,20.370000000000385
181,9.09885243007115,11.228910173688615,77.77347837175643,100.0,38.162141038340884,84.88869060513713,100.0,100.0,7,20.370000000000385,30.0,30.0,28.98354166666678,26.95062500000035,20.97250000000048,20.370000000000385
182,5.851457323346819,11.265762874058314,84.598479952131,100.0,50.848089213189326,94.75783927100045,100.0,100.0,12,20.370000000000385,28.782500000000283,30.0,28.097500000000178,24.292500000000526,20.935000000000475,20.370000000000385
183,5.1685796465192535,10.785857609340121,83.49667072296143,100.0,47.02650650499095,94.44740312440055,100.0,100.0,11,20.370000000000385,30.0,30.0,28.311666666666834,24.935000000000507,20.78750000000045,20.370000000000385
184,10.38788332257952,11.169061660766602,100.0,100.0,56.81592354041811,97.46439320700509,100.0,100.0,14,20.370000000000385,27.072500000001433,30.0,28.112500000000257,24.337500000000766,20.757500000000444,20.370000000000385
185,9.035397120884488,11.25610828399658,100.0,100.0,53.087125990764115,100.0,100.0,100.0,16,20.170000000000357,26.070000000001276,30.0,27.84354166666696,23.530625000000878,20.552500000000414,20.170000000000357
186,8.993739264351984,11.302574702671595,84.8323358808245,100.0,54.631986126618926,94.81598820005144,100.0,100.0,12,19.990000000000325,29.630000000000415,30.0,28.173125000000187,24.51937500000056,20.33000000000038,19.990000000000325
187,9.181393214634488,13.34728513445173,100.0,100.0,51.06059811155742,99.773842395434,100.0,100.0,15,19.990000000000325,28.085000000001592,30.0,28.095833333333626,24.287500000000882,20.33000000000038,19.990000000000325
188,5.875192369733538,11.40051705496652,100.0,100.0,51.88879873027518,100.0,100.0,100.0,17,19.990000000000325,25.997500000001263,30.0,28.031666666667032,24.095625000000968,20.33000000000038,19.990000000000325
189,5.002604893275669,11.121978078569684,97.82882452620734,100.0,51.07571688103891,96.1352261196403,100.0,100.0,12,19.990000000000325,29.437500000000384,30.0,28.42916666666689,25.287500000000684,20.33000000000038,19.990000000000325
190,5.238982609340122,10.758510317121234,100.0,100.0,50.786807640560625,99.71333568061976,100.0,100.0,15,19.990000000000325,28.07500000000159,30.0,28.187291666666976,24.561875000000924,20.27000000000037,19.990000000000325
191,5.947042192731584,11.203825814383372,100.0,100.0,50.99306031767609,100.0,100.0,100.0,16,19.990000000000325,26.267500000001306,30.0,27.93687500000031,23.810625000000922,20.27000000000037,19.990000000000325
192,3.6277155194963724,10.82789557320731,100.0,100.0,48.38208779160465,99.28979464939663,100.0,100.0,15,19.990000000000325,24.962500000001103,30.0,27.769791666666908,23.309375000000728,20.27000000000037,19.990000000000325
193,9.323990958077568,14.197148595537458,100.0,100.0,56.56031817510646,100.0,100.0,100.0,16,19.990000000000325,24.75250000000107,30.0,27.744166666666942,23.232500000000833,20.27000000000037,19.990000000000325
194,4.557512555803571,11.21659210750035,100.0,100.0,57.68746728412528,100.0,100.0,100.0,17,19.990000000000325,26.2125000000013,30.0,27.760625000000317,23.377500000000854,20.27000000000037,19.990000000000325
195,10.305550983973914,14.443548066275458,100.0,100.0,55.06845156904324,99.20011145727975,100.0,100.0,15,19.990000000000325,25.242500000001147,30.0,27.762083333333578,23.28625000000072,20.27000000000037,19.990000000000325
196,5.76050077165876,11.120125225612094,81.94400378635952,100.0,50.09212800153036,94.13717474256242,100.0,100.0,11,19.990000000000325,30.0,30.0,28.35270833333351,25.05812500000053,20.27000000000037,19.990000000000325
197,5.43710926600865,10.86876732962472,80.57188034057617,100.0,47.170887558789275,92.78057932169035,100.0,100.0,9,19.990000000000325,30.0,30.0,28.545416666666796,25.63625000000038,20.27000000000037,19.990000000000325
198,5.648138863699777,11.186997549874441,100.0,100.0,53.42622307433405,97.80584132925802,100.0,100.0,14,19.990000000000325,27.902500000001563,30.0,28.203958333333603,24.61187500000081,20.27000000000037,19.990000000000325
199,10.580330167497907,14.702010154724121,100.0,100.0,59.83408218400613,99.47934474263872,100.0,100.0,15,19.990000000000325,26.69250000000137,30.0,28.074583333333624,24.22375000000087,20.27000000000037,19.990000000000325
200,5.660779680524553,11.201784270150322,90.72966829632678,100.0,51.085463014759796,95.07284398230226,100.0,100.0,11,19.990000000000325,30.0,30.0,28.592708333333547,25.77812500000064,20.27000000000037,19.990000000000325
201,4.859401702880859,11.16267340523856,100.0,100.0,51.414353679173324,100.0,100.0,100.0,17,19.990000000000325,25.895000000001247,30.0,27.873541666667006,23.6675000000009,20.27000000000037,19.990000000000325
202,5.853103092738561,11.069882937840053,100.0,100.0,48.312451755098635,96.2925754811837,100.0,100.0,13,19.990000000000325,25.790000000001232,30.0,28.047500000000202,24.14250000000062,20.27000000000037,19.990000000000325
203,8.817296164376398,19.633188928876603,100.0,100.0,59.09351599901138,100.0,100.0,100.0,16,19.990000000000325,26.02250000000127,30.0,27.947291666666974,23.84187500000093,20.27000000000037,19.990000000000325
204,10.975879941667829,18.79242283957345,100.0,100.0,59.9106487382923,99.28772381373814,100.0,100.0,15,19.990000000000325,29.012500000001737,30.0,28.28812500000032,24.86437500000097,20.27000000000037,19.990000000000325
205,11.222112928118024,20.354652404785156,100.0,100.0,61.05324978203698,100.0,100.0,100.0,17,19.990000000000325,26.330000000001316,30.0,27.862500000000335,23.72687500000091,20.27000000000037,19.990000000000325
206,11.250640324183873,20.54811613900321,100.0,100.0,69.09591140515367,100.0,100.0,100.0,23,19.990000000000325,24.295000000000996,30.0,27.194166666667133,22.636250000000736,20.27000000000037,19.990000000000325
207,10.445329666137695,11.357571738106863,78.22393962315151,100.0,49.44400693340941,93.14286061695644,100.0,100.0,11,19.990000000000325,30.0,30.0,28.47729166666686,25.431875000000588,20.27000000000037,19.990000000000325
208,5.498970031738281,11.455807004656112,100.0,100.0,50.46852937473701,98.45462870160983,100.0,100.0,13,19.990000000000325,27.38750000000148,30.0,28.082708333333546,24.248125000000638,20.27000000000037,19.990000000000325
209,8.835972649710518,15.30649048941476,100.0,100.0,55.67988048093429,96.92055828311759,100.0,100.0,13,19.990000000000325,24.912500000001096,30.0,27.958541666666857,23.875625000000575,20.27000000000037,19.990000000000325
