generation,rank,original_index,finished,crashes,time,dense_progress,path_file
94,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0094_rank_001_idx_000_finish_1.npz
94,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0094_rank_002_idx_001_finish_1.npz
95,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0095_rank_001_idx_000_finish_1.npz
95,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0095_rank_002_idx_001_finish_1.npz
96,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0096_rank_001_idx_000_finish_1.npz
96,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0096_rank_002_idx_001_finish_1.npz
97,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0097_rank_001_idx_000_finish_1.npz
97,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0097_rank_002_idx_001_finish_1.npz
98,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0098_rank_001_idx_000_finish_1.npz
98,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0098_rank_002_idx_001_finish_1.npz
99,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0099_rank_001_idx_000_finish_1.npz
99,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0099_rank_002_idx_001_finish_1.npz
100,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0100_rank_001_idx_000_finish_1.npz
100,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0100_rank_002_idx_001_finish_1.npz
101,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0101_rank_001_idx_000_finish_1.npz
101,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0101_rank_002_idx_001_finish_1.npz
102,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0102_rank_001_idx_000_finish_1.npz
102,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0102_rank_002_idx_001_finish_1.npz
103,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0103_rank_001_idx_000_finish_1.npz
103,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0103_rank_002_idx_001_finish_1.npz
104,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0104_rank_001_idx_000_finish_1.npz
104,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0104_rank_002_idx_001_finish_1.npz
105,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0105_rank_001_idx_000_finish_1.npz
105,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0105_rank_002_idx_001_finish_1.npz
106,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0106_rank_001_idx_000_finish_1.npz
106,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0106_rank_002_idx_001_finish_1.npz
107,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0107_rank_001_idx_000_finish_1.npz
107,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0107_rank_002_idx_001_finish_1.npz
108,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0108_rank_001_idx_000_finish_1.npz
108,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0108_rank_002_idx_001_finish_1.npz
109,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0109_rank_001_idx_000_finish_1.npz
109,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0109_rank_002_idx_001_finish_1.npz
110,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0110_rank_001_idx_000_finish_1.npz
110,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0110_rank_002_idx_001_finish_1.npz
